IsActiveMember,CustomerID,Surname,CreditScore,RiskLevel,Geography,Gender,Age,AgeGroup,Tenure,TenureGroup,Balance,NumuberofProducts,AccountType,HasCrCard,IsActiveMember,EstimatedSalary,CustomerValue,IncomeGroup,Exited,ChurnFlag
2781,15790235,Hsing,778,Low Risk,Spain,Male,40,Middle Age,8,Loyal,104291.41,2,Standard,1,1,117507.11,High Value,High,0,Retained
2782,15641416,Shaffer,732,Low Risk,Germany,Female,61,Old,9,Very Loyal,94867.18,2,Standard,1,1,157527.6,High Value,High,1,Churned
2783,15775234,Laurie,646,Medium Risk,France,Male,24,Adolescence,8,Loyal,0,2,Standard,0,0,92612.88,Medium Value,Medium,0,Retained
2784,15659475,Chung,597,Medium Risk,France,Female,33,Middle Age,6,Loyal,135703.59,2,Standard,0,0,74850.84,Medium Value,Medium,0,Retained
2785,15642202,Whitfield,821,Low Risk,Germany,Female,37,Middle Age,5,Established,106453.53,2,Standard,0,1,127413,High Value,High,0,Retained
2786,15771417,Thomas,640,Medium Risk,France,Male,43,Middle Age,7,Loyal,132412.38,1,Basic,0,0,69584.3,Medium Value,Medium,1,Churned
2787,15585100,Rioux,511,Medium Risk,Germany,Female,40,Middle Age,9,Very Loyal,124401.6,1,Basic,1,0,198814.24,Medium Value,High,1,Churned
2788,15700487,Osonduagwuike,805,Low Risk,France,Male,46,Middle Age,6,Loyal,118022.06,3,Premium,1,0,162643.15,High Value,High,1,Churned
2789,15726589,Matveyev,540,Medium Risk,Germany,Male,39,Middle Age,1,New,82531.11,1,Basic,1,0,114092.52,Medium Value,High,0,Retained
2790,15747503,Hayward,705,Low Risk,Spain,Male,44,Middle Age,0,New,184552.12,1,Basic,1,0,68860.3,Medium Value,Medium,1,Churned
2791,15595883,Nkemdirim,540,Medium Risk,Germany,Male,39,Middle Age,4,Established,127278.31,1,Basic,1,1,16150.34,Low value,Low,0,Retained
2792,15663826,Brim,532,Medium Risk,Spain,Female,66,Old,3,Established,0,1,Basic,1,1,115227.02,Medium Value,High,0,Retained
2793,15742820,Trevisano,535,Medium Risk,France,Female,45,Middle Age,2,New,0,2,Standard,0,1,170621.55,High Value,High,0,Retained
2794,15624793,Soubeiran,627,Medium Risk,Germany,Male,23,Adolescence,5,Established,184244.86,1,Basic,1,0,103099.22,Medium Value,High,0,Retained
2795,15597930,Wilson,646,Medium Risk,France,Male,52,Old,8,Loyal,59669.43,1,Basic,0,0,172495.81,Medium Value,High,1,Churned
2796,15665110,Helena,515,Medium Risk,France,Female,25,Adolescence,7,Loyal,79543.59,1,Basic,0,1,38772.82,Low value,Low,0,Retained
2797,15770719,Duncan,697,Medium Risk,France,Female,39,Middle Age,6,Loyal,151553.19,1,Basic,1,1,44946.29,Low value,Low,0,Retained
2798,15731327,Hale,652,Medium Risk,Germany,Male,27,Adolescence,2,New,166527.88,2,Standard,0,1,146007.7,High Value,High,0,Retained
2799,15576044,Macdonald,579,Medium Risk,Germany,Male,28,Adolescence,6,Loyal,150329.15,1,Basic,1,0,145558.42,Medium Value,High,0,Retained
2800,15775662,McKay,760,Low Risk,France,Male,43,Middle Age,8,Loyal,121911.59,1,Basic,1,0,193312.33,Medium Value,High,0,Retained
2801,15646817,Chiekwugo,769,Low Risk,France,Male,51,Old,9,Very Loyal,156773.78,2,Standard,1,0,40257.79,Low value,Low,0,Retained
2802,15596060,Skinner,498,High Risk,Spain,Male,29,Adolescence,8,Loyal,127864.26,1,Basic,1,1,46677.9,Low value,Low,0,Retained
2803,15723299,Sorokina,774,Low Risk,France,Male,53,Old,4,Established,113709.28,1,Basic,1,1,153887.93,Medium Value,High,1,Churned
2804,15636982,Weller,705,Low Risk,Germany,Female,43,Middle Age,7,Loyal,79974.55,1,Basic,1,1,103108.33,Medium Value,High,0,Retained
2805,15751175,Bess,648,Medium Risk,France,Female,44,Middle Age,2,New,0,2,Standard,1,1,58652.23,Medium Value,Medium,0,Retained
2806,15618936,MacDonald,688,Medium Risk,France,Female,51,Old,5,Established,0,1,Basic,1,0,91624.11,Medium Value,Medium,1,Churned
2807,15787529,Gray,592,Medium Risk,Spain,Male,38,Middle Age,0,New,0,1,Basic,1,0,65986.48,Medium Value,Medium,1,Churned
2808,15780128,Ogbonnaya,705,Low Risk,France,Male,33,Middle Age,3,Established,144427.96,2,Standard,1,0,113845.19,High Value,High,0,Retained
2809,15615991,Udegbulam,654,Medium Risk,France,Male,42,Middle Age,7,Loyal,99263.09,1,Basic,1,1,67607.9,Medium Value,Medium,0,Retained
2810,15757001,Mai,624,Medium Risk,France,Female,32,Middle Age,2,New,79368.87,2,Standard,1,1,145471.94,High Value,High,0,Retained
2811,15595388,Yeh,594,Medium Risk,France,Female,30,Middle Age,10,Very Loyal,0,2,Standard,1,1,124071.71,High Value,High,0,Retained
2812,15699550,Babbage,695,Medium Risk,Spain,Female,34,Middle Age,9,Very Loyal,0,2,Standard,1,1,67502.12,Medium Value,Medium,0,Retained
2813,15581620,Franklin,597,Medium Risk,France,Male,28,Adolescence,2,New,0,3,Premium,1,1,78707.97,Medium Value,Medium,0,Retained
2814,15600934,Randell,758,Low Risk,France,Female,52,Old,7,Loyal,125095.94,1,Basic,1,0,171189.83,Medium Value,High,1,Churned
2815,15738672,Paterson,737,Low Risk,Germany,Female,40,Middle Age,2,New,162485.8,2,Standard,1,0,149381.32,High Value,High,0,Retained
2816,15721307,Pickering,694,Medium Risk,Germany,Male,37,Middle Age,1,New,95668.82,2,Standard,1,0,100335.55,High Value,High,0,Retained
2817,15619280,Uspensky,683,Medium Risk,France,Male,25,Adolescence,4,Established,0,2,Standard,1,0,152698.24,High Value,High,0,Retained
2818,15768244,Macleod,538,Medium Risk,Spain,Female,30,Middle Age,8,Loyal,0,2,Standard,1,1,41192.95,Low value,Low,0,Retained
2819,15806837,Nnaife,669,Medium Risk,France,Male,37,Middle Age,4,Established,0,1,Basic,1,0,132540.33,Medium Value,High,0,Retained
2820,15643496,Randolph,730,Low Risk,France,Female,34,Middle Age,5,Established,74197.38,2,Standard,1,0,96875.52,Medium Value,Medium,0,Retained
2821,15813916,Kudryashova,622,Medium Risk,France,Female,31,Middle Age,1,New,89688.94,1,Basic,1,1,152305.47,Medium Value,High,0,Retained
2822,15626385,George,714,Low Risk,Spain,Female,33,Middle Age,10,Very Loyal,103121.33,2,Standard,1,1,49672.01,Low value,Low,0,Retained
2823,15603582,Robertson,569,Medium Risk,Spain,Female,34,Middle Age,3,Established,0,1,Basic,1,0,133997.53,Medium Value,High,0,Retained
2824,15764351,Yuryeva,668,Medium Risk,Germany,Female,59,Old,5,Established,120170.07,1,Basic,0,1,50454.8,Medium Value,Medium,0,Retained
2825,15667938,Hurst,628,Medium Risk,France,Male,32,Middle Age,9,Very Loyal,149136.31,2,Standard,1,1,16402.11,Low value,Low,0,Retained
2826,15576360,Ch'iu,600,Medium Risk,France,Male,40,Middle Age,1,New,141136.79,1,Basic,1,1,67803.83,Medium Value,Medium,0,Retained
2827,15628813,King,693,Medium Risk,France,Female,43,Middle Age,4,Established,152341.55,1,Basic,1,0,9241.78,Low value,Low,0,Retained
2828,15584190,Esposito,704,Low Risk,France,Male,36,Middle Age,7,Loyal,120026.98,2,Standard,0,1,100601.73,High Value,High,0,Retained
2829,15716449,Fraser,527,Medium Risk,Spain,Male,33,Middle Age,9,Very Loyal,132168.28,1,Basic,0,0,98734.15,Medium Value,Medium,0,Retained
2830,15759913,Trentini,553,Medium Risk,Germany,Male,43,Middle Age,6,Loyal,85200.82,2,Standard,1,1,160574.09,High Value,High,0,Retained
2831,15701555,Nicholls,575,Medium Risk,Spain,Male,53,Old,1,New,84903.33,2,Standard,0,1,26015.8,Low value,Low,0,Retained
2832,15758482,Montalvo,626,Medium Risk,France,Female,32,Middle Age,0,New,0,2,Standard,0,0,187172.54,High Value,High,0,Retained
2833,15758171,Tien,582,Medium Risk,France,Male,20,Adolescence,4,Established,0,1,Basic,1,1,55763.66,Medium Value,Medium,0,Retained
2834,15680346,Chuang,683,Medium Risk,Spain,Male,40,Middle Age,8,Loyal,0,1,Basic,1,0,75848.22,Medium Value,Medium,0,Retained
2835,15649124,Fang,850,Low Risk,France,Male,30,Middle Age,9,Very Loyal,121535.18,1,Basic,0,0,40313.47,Low value,Low,0,Retained
2836,15812917,Kosisochukwu,653,Medium Risk,Spain,Male,35,Middle Age,6,Loyal,116662.96,2,Standard,1,1,23864.21,Low value,Low,0,Retained
2837,15768455,Young,679,Medium Risk,France,Male,60,Old,8,Loyal,0,2,Standard,1,1,51380.9,Medium Value,Medium,0,Retained
2838,15703059,Scott,549,Medium Risk,Germany,Female,49,Middle Age,6,Loyal,124829.16,1,Basic,0,1,93551.36,Medium Value,Medium,0,Retained
2839,15646196,Yeh,850,Low Risk,Spain,Female,36,Middle Age,2,New,155180.56,2,Standard,0,0,169415.54,High Value,High,0,Retained
2840,15585451,Vigano,558,Medium Risk,Germany,Female,32,Middle Age,1,New,108262.87,1,Basic,1,1,6935.31,Low value,Low,0,Retained
2841,15714057,Windradyne,528,Medium Risk,Spain,Male,40,Middle Age,4,Established,0,2,Standard,1,0,25399.7,Low value,Low,0,Retained
2842,15748473,Curnow,801,Low Risk,France,Male,38,Middle Age,5,Established,0,2,Standard,1,0,66256.27,Medium Value,Medium,0,Retained
2843,15785782,Ugonna,513,Medium Risk,Spain,Male,48,Middle Age,2,New,0,1,Basic,1,1,114709.13,Medium Value,High,1,Churned
2844,15693233,De Neeve,666,Medium Risk,Germany,Male,38,Middle Age,6,Loyal,99812.88,2,Standard,1,1,158357.97,High Value,High,0,Retained
2845,15757521,Ricci,606,Medium Risk,France,Male,35,Middle Age,2,New,132164.26,1,Basic,0,1,164815.59,Medium Value,High,0,Retained
2846,15812513,Nnaife,599,Medium Risk,Germany,Male,45,Middle Age,10,Very Loyal,103583.05,1,Basic,1,0,132127.69,Medium Value,High,1,Churned
2847,15674950,Ebelechukwu,544,Medium Risk,Germany,Male,39,Middle Age,4,Established,142406.43,2,Standard,1,0,146637.45,High Value,High,0,Retained
2848,15678572,Keating,529,Medium Risk,Spain,Male,38,Middle Age,7,Loyal,99842.5,2,Standard,1,0,90256.06,Medium Value,Medium,1,Churned
2849,15713608,Tuan,850,Low Risk,France,Female,41,Middle Age,5,Established,0,2,Standard,1,1,34827.43,Low value,Low,0,Retained
2850,15579262,Shearston,497,High Risk,France,Male,41,Middle Age,9,Very Loyal,0,1,Basic,0,0,22074.48,Low value,Low,0,Retained
2851,15610426,Tien,764,Low Risk,France,Female,39,Middle Age,5,Established,81042.42,1,Basic,0,1,109805.17,Medium Value,High,0,Retained
2852,15776454,Hamilton,603,Medium Risk,France,Female,48,Middle Age,5,Established,0,1,Basic,1,0,100478.6,Medium Value,High,1,Churned
2853,15771483,Arnold,609,Medium Risk,France,Male,40,Middle Age,6,Loyal,0,2,Standard,1,1,97416.34,Medium Value,Medium,0,Retained
2854,15648489,Ting,487,High Risk,France,Male,53,Old,4,Established,199689.49,1,Basic,1,1,24207.86,Low value,Low,1,Churned
2855,15646609,Chao,748,Low Risk,France,Male,33,Middle Age,1,New,142645.43,1,Basic,0,0,69132.66,Medium Value,Medium,0,Retained
2856,15693203,Powell,710,Low Risk,Spain,Female,75,Old,5,Established,0,2,Standard,1,1,9376.89,Low value,Low,0,Retained
2857,15813067,Williams,432,High Risk,Germany,Female,45,Middle Age,3,Established,110219.14,1,Basic,1,0,43046.7,Low value,Low,1,Churned
2858,15769829,Cheng,534,Medium Risk,Spain,Male,51,Old,3,Established,0,2,Standard,0,1,20856.31,Low value,Low,0,Retained
2859,15662434,Zhdanova,607,Medium Risk,France,Male,25,Adolescence,3,Established,0,2,Standard,0,0,187048.72,High Value,High,0,Retained
2860,15773503,Tsai,551,Medium Risk,Spain,Male,32,Middle Age,4,Established,0,2,Standard,1,0,53420.53,Medium Value,Medium,0,Retained
2861,15705890,Nebechukwu,674,Medium Risk,France,Male,45,Middle Age,7,Loyal,142072.02,1,Basic,1,0,37013.29,Low value,Low,0,Retained
2862,15711398,Fetherstonhaugh,525,Medium Risk,France,Female,25,Adolescence,6,Loyal,0,2,Standard,1,0,89566.64,Medium Value,Medium,0,Retained
2863,15752375,Ojiofor,645,Medium Risk,Germany,Male,33,Middle Age,8,Loyal,149564.61,1,Basic,0,0,149913.84,Medium Value,High,0,Retained
2864,15659175,Severson,755,Low Risk,France,Female,43,Middle Age,9,Very Loyal,0,2,Standard,1,0,18066.69,Low value,Low,0,Retained
2865,15597033,Speight,708,Low Risk,Germany,Male,37,Middle Age,8,Loyal,153366.13,1,Basic,1,1,26912.34,Low value,Low,0,Retained
2866,15590228,Greenwalt,715,Low Risk,France,Male,21,Adolescence,6,Loyal,76467.16,1,Basic,1,1,173511.72,Medium Value,High,0,Retained
2867,15631848,Grover,727,Low Risk,France,Female,26,Adolescence,9,Very Loyal,121508.28,1,Basic,1,1,146785.44,Medium Value,High,0,Retained
2868,15654211,Milani,559,Medium Risk,Spain,Female,27,Adolescence,1,New,0,1,Basic,0,1,1050.33,Low value,Low,0,Retained
2869,15707968,Akobundu,545,Medium Risk,Spain,Male,36,Middle Age,8,Loyal,73211.12,2,Standard,1,0,89587.34,Medium Value,Medium,1,Churned
2870,15594084,Anderson,524,Medium Risk,France,Male,22,Adolescence,9,Very Loyal,0,2,Standard,1,0,74405.34,Medium Value,Medium,0,Retained
2871,15651093,Chien,707,Low Risk,France,Female,55,Old,1,New,0,2,Standard,0,1,54409.48,Medium Value,Medium,0,Retained
2872,15798824,Kennedy,671,Medium Risk,Spain,Male,38,Middle Age,0,New,92674.94,2,Standard,1,0,3647.57,Low value,Low,0,Retained
2873,15671591,Castiglione,439,High Risk,Spain,Male,52,Old,3,Established,96196.24,4,Premium,1,0,198874.52,High Value,High,1,Churned
2874,15707189,Marshall,667,Medium Risk,Germany,Female,36,Middle Age,1,New,114391.62,1,Basic,1,1,53412.54,Medium Value,Medium,0,Retained
2875,15733581,Duncan,831,Low Risk,Germany,Male,32,Middle Age,9,Very Loyal,80262.66,1,Basic,1,0,194867.78,Medium Value,High,0,Retained
2876,15641640,Uspenskaya,545,Medium Risk,Spain,Female,33,Middle Age,7,Loyal,173331.52,1,Basic,1,0,150452.88,Medium Value,High,0,Retained
2877,15585284,Thomson,604,Medium Risk,Spain,Female,35,Middle Age,7,Loyal,147285.52,1,Basic,1,1,57807.05,Medium Value,Medium,0,Retained
2878,15617866,Calabrese,657,Medium Risk,Spain,Male,67,Old,5,Established,119785.47,2,Standard,1,1,107534.32,High Value,High,0,Retained
2879,15667751,Herrera,487,High Risk,Spain,Female,36,Middle Age,1,New,140137.15,1,Basic,1,0,194073.33,Medium Value,High,0,Retained
2880,15669411,Muse,750,Low Risk,Germany,Female,52,Old,6,Loyal,107467.56,1,Basic,1,0,126233.18,Medium Value,High,1,Churned
2881,15789425,Marsden,694,Medium Risk,Germany,Female,37,Middle Age,8,Loyal,98218.04,2,Standard,1,0,182354.46,High Value,High,1,Churned
2882,15570943,Artemyeva,711,Low Risk,Germany,Female,35,Middle Age,2,New,133607.75,1,Basic,1,1,120586.32,Medium Value,High,0,Retained
2883,15685829,McKay,551,Medium Risk,France,Male,37,Middle Age,3,Established,0,2,Standard,1,1,50578.4,Medium Value,Medium,0,Retained
2884,15721917,Chuang,559,Medium Risk,France,Female,38,Middle Age,8,Loyal,95139.41,1,Basic,1,1,86575.46,Medium Value,Medium,0,Retained
2885,15776047,Nicholls,620,Medium Risk,France,Female,29,Adolescence,3,Established,0,2,Standard,0,1,153392.28,High Value,High,0,Retained
2886,15716024,Dennis,660,Medium Risk,Spain,Male,42,Middle Age,5,Established,0,2,Standard,1,0,115509.59,High Value,High,0,Retained
2887,15675328,Knight,449,High Risk,France,Female,37,Middle Age,6,Loyal,0,2,Standard,1,0,82176.48,Medium Value,Medium,0,Retained
2888,15604314,Webb,703,Low Risk,Germany,Female,26,Adolescence,1,New,97331.19,1,Basic,1,0,63717.49,Medium Value,Medium,0,Retained
2889,15658339,Pugliesi,795,Low Risk,Germany,Male,37,Middle Age,2,New,139265.63,2,Standard,1,1,198745.94,High Value,High,0,Retained
2890,15630402,Nebechukwu,594,Medium Risk,France,Female,31,Middle Age,9,Very Loyal,0,1,Basic,0,1,5719.11,Low value,Low,0,Retained
2891,15689616,Ward,586,Medium Risk,Spain,Male,34,Middle Age,5,Established,168094.01,1,Basic,0,0,20058.61,Low value,Low,0,Retained
2892,15774224,Nixon,613,Medium Risk,Germany,Female,30,Middle Age,5,Established,131563.88,2,Standard,1,0,170638.98,High Value,High,0,Retained
2893,15701291,Chidubem,601,Medium Risk,France,Male,44,Middle Age,3,Established,0,2,Standard,1,0,30607.11,Low value,Low,0,Retained
2894,15719606,Rivers,657,Medium Risk,France,Male,50,Middle Age,9,Very Loyal,0,2,Standard,0,0,37171.46,Low value,Low,0,Retained
2895,15644119,Sochima,531,Medium Risk,France,Male,31,Middle Age,3,Established,0,1,Basic,1,1,42589.33,Low value,Low,0,Retained
2896,15646859,Heydon,621,Medium Risk,Germany,Male,47,Middle Age,7,Loyal,107363.29,1,Basic,1,1,66799.28,Medium Value,Medium,0,Retained
2897,15606836,Lombardo,782,Low Risk,France,Female,33,Middle Age,2,New,94493.03,1,Basic,0,1,101866.39,Medium Value,High,0,Retained
2898,15664150,Holland,528,Medium Risk,Germany,Female,29,Adolescence,9,Very Loyal,170214.23,2,Standard,1,0,49284,Low value,Low,0,Retained
2899,15624510,Tien,696,Medium Risk,France,Male,52,Old,6,Loyal,139781.06,1,Basic,1,0,27445.4,Low value,Low,1,Churned
2900,15810944,Bryant,586,Medium Risk,France,Female,35,Middle Age,7,Loyal,0,2,Standard,1,0,70760.69,Medium Value,Medium,0,Retained
2901,15668575,Hao,626,Medium Risk,Spain,Female,26,Adolescence,8,Loyal,148610.41,3,Premium,0,1,104502.02,High Value,High,1,Churned
2902,15603246,Genovesi,498,High Risk,France,Male,73,Old,2,New,170241.7,2,Standard,1,1,165407.96,High Value,High,0,Retained
2903,15804002,Kovalev,691,Medium Risk,France,Female,33,Middle Age,1,New,128306.83,1,Basic,1,1,113580.79,Medium Value,High,0,Retained
2904,15728773,Hsieh,568,Medium Risk,France,Female,47,Middle Age,7,Loyal,0,2,Standard,1,1,45978.39,Low value,Low,0,Retained
2905,15598044,Debellis,715,Low Risk,France,Female,35,Middle Age,3,Established,0,1,Basic,1,1,152012.36,Medium Value,High,0,Retained
2906,15694829,Chibueze,680,Medium Risk,Germany,Male,32,Middle Age,7,Loyal,175454,1,Basic,0,1,77349.92,Medium Value,Medium,0,Retained
2907,15600575,Padovano,802,Low Risk,Spain,Male,41,Middle Age,6,Loyal,0,2,Standard,1,0,47322.05,Low value,Low,0,Retained
2908,15727311,Yen,539,Medium Risk,France,Female,22,Adolescence,0,New,100885.93,2,Standard,1,1,38772.65,Low value,Low,0,Retained
2909,15570769,Kibble,494,High Risk,France,Male,69,Old,9,Very Loyal,93320.8,1,Basic,1,1,24489.44,Low value,Low,0,Retained
2910,15606274,Lori,594,Medium Risk,Germany,Male,38,Middle Age,6,Loyal,63176.44,2,Standard,1,1,14466.08,Low value,Low,0,Retained
2911,15746139,Enemuo,596,Medium Risk,France,Male,33,Middle Age,2,New,139451.67,1,Basic,0,0,63142.12,Medium Value,Medium,0,Retained
2912,15704987,Lu,649,Medium Risk,France,Female,52,Old,8,Loyal,49113.75,1,Basic,1,0,41858.43,Low value,Low,0,Retained
2913,15628972,Nebeolisa,699,Medium Risk,Germany,Male,32,Middle Age,1,New,123906.22,3,Premium,1,1,127443.82,High Value,High,1,Churned
2914,15697686,Stewart,787,Low Risk,France,Female,40,Middle Age,6,Loyal,0,2,Standard,1,1,84151.98,Medium Value,Medium,0,Retained
2915,15733883,Ward,604,Medium Risk,France,Male,28,Adolescence,7,Loyal,0,2,Standard,0,0,58595.64,Medium Value,Medium,0,Retained
2916,15617482,Milanesi,489,High Risk,Germany,Female,52,Old,1,New,131441.51,1,Basic,1,0,37240.11,Low value,Low,1,Churned
2917,15704583,Chikwado,651,Medium Risk,France,Male,56,Old,2,New,0,1,Basic,1,0,114522.68,Medium Value,High,1,Churned
2918,15621083,Douglas,698,Medium Risk,France,Male,57,Old,6,Loyal,136325.48,2,Standard,1,1,72549.27,Medium Value,Medium,1,Churned
2919,15649487,Sal,578,Medium Risk,Germany,Female,38,Middle Age,4,Established,113150.44,2,Standard,1,0,176712.59,High Value,High,1,Churned
2920,15736760,Douglas,538,Medium Risk,Spain,Female,42,Middle Age,9,Very Loyal,0,1,Basic,0,0,152855.96,Medium Value,High,0,Retained
2921,15714658,Yates,696,Medium Risk,France,Female,33,Middle Age,4,Established,0,2,Standard,1,1,73371.65,Medium Value,Medium,0,Retained
2922,15599081,Watt,507,Medium Risk,Germany,Female,46,Middle Age,8,Loyal,102785.16,1,Basic,1,1,70323.68,Medium Value,Medium,0,Retained
2923,15705113,P'an,685,Medium Risk,Spain,Male,34,Middle Age,6,Loyal,83264.28,1,Basic,0,0,9663.28,Low value,Low,0,Retained
2924,15631159,H?,705,Low Risk,Germany,Male,41,Middle Age,4,Established,72252.64,2,Standard,1,1,142514.66,High Value,High,0,Retained
2925,15792818,Perry,499,High Risk,Germany,Female,29,Adolescence,6,Loyal,148051.52,1,Basic,1,0,118623.94,Medium Value,High,0,Retained
2926,15633531,Lavrov,717,Low Risk,France,Female,76,Old,9,Very Loyal,138489.66,1,Basic,1,1,68400.14,Medium Value,Medium,0,Retained
2927,15744529,Chiekwugo,510,Medium Risk,France,Male,63,Old,8,Loyal,0,2,Standard,1,1,115291.86,High Value,High,0,Retained
2928,15669656,Macdonald,632,Medium Risk,France,Male,32,Middle Age,6,Loyal,111589.33,1,Basic,1,1,170382.99,Medium Value,High,0,Retained
2929,15581198,Jenkins,668,Medium Risk,Germany,Female,39,Middle Age,0,New,122104.79,1,Basic,1,0,112946.67,Medium Value,High,1,Churned
2930,15729054,Korovina,744,Low Risk,Germany,Male,32,Middle Age,4,Established,96106.83,1,Basic,1,1,79812.77,Medium Value,Medium,0,Retained
2931,15573452,Manning,663,Medium Risk,Germany,Male,42,Middle Age,7,Loyal,115930.87,1,Basic,1,0,19862.78,Low value,Low,0,Retained
2932,15776733,Wilson,638,Medium Risk,Germany,Female,37,Middle Age,7,Loyal,124513.66,2,Standard,1,0,158610.89,High Value,High,0,Retained
2933,15724858,Begum,688,Medium Risk,France,Female,54,Old,9,Very Loyal,0,1,Basic,1,0,191212.63,Medium Value,High,1,Churned
2934,15713144,Ingrassia,588,Medium Risk,Spain,Male,46,Middle Age,8,Loyal,0,1,Basic,1,0,61931.21,Medium Value,Medium,0,Retained
2935,15690188,Maclean,631,Medium Risk,France,Male,33,Middle Age,7,Loyal,0,1,Basic,1,1,58043.02,Medium Value,Medium,1,Churned
2936,15689425,Olejuru,687,Medium Risk,Spain,Male,35,Middle Age,8,Loyal,100988.39,2,Standard,1,0,22247.27,Low value,Low,0,Retained
2937,15671766,Enyinnaya,599,Medium Risk,France,Male,44,Middle Age,10,Very Loyal,118577.24,1,Basic,1,1,31448.52,Low value,Low,0,Retained
2938,15782806,Watson,718,Low Risk,Spain,Male,28,Adolescence,6,Loyal,0,2,Standard,1,0,146875.86,High Value,High,0,Retained
2939,15764419,Langdon,730,Low Risk,France,Male,27,Adolescence,5,Established,0,2,Standard,1,1,116081.93,High Value,High,0,Retained
2940,15591915,Frolov,533,Medium Risk,France,Female,39,Middle Age,2,New,0,1,Basic,0,1,73669.94,Medium Value,Medium,1,Churned
2941,15772798,Chikezie,711,Low Risk,Spain,Female,28,Adolescence,5,Established,0,2,Standard,1,1,93959.96,Medium Value,Medium,0,Retained
2942,15792008,Zetticci,555,Medium Risk,Spain,Female,26,Adolescence,9,Very Loyal,0,2,Standard,0,1,158918.03,High Value,High,0,Retained
2943,15715541,Yang,850,Low Risk,France,Female,42,Middle Age,9,Very Loyal,113311.11,1,Basic,1,1,198193.75,Medium Value,High,0,Retained
2944,15639277,Lin,678,Medium Risk,France,Female,41,Middle Age,9,Very Loyal,0,1,Basic,0,0,13160.03,Low value,Low,0,Retained
2945,15798850,Goddard,576,Medium Risk,France,Male,32,Middle Age,7,Loyal,0,2,Standard,1,0,4660.91,Low value,Low,0,Retained
2946,15776348,Rogers,835,Low Risk,Germany,Male,20,Adolescence,4,Established,124365.42,1,Basic,0,0,180197.74,Medium Value,High,1,Churned
2947,15727696,Zubareva,592,Medium Risk,France,Male,42,Middle Age,1,New,147249.29,2,Standard,1,1,63023.02,Medium Value,Medium,0,Retained
2948,15793813,Onochie,774,Low Risk,France,Male,36,Middle Age,7,Loyal,103688.19,1,Basic,0,1,118971.74,Medium Value,High,0,Retained
2949,15694395,Ts'ui,620,Medium Risk,France,Female,29,Adolescence,1,New,138740.24,2,Standard,0,0,154700.61,High Value,High,0,Retained
2950,15764195,Newsom,519,Medium Risk,Spain,Male,39,Middle Age,4,Established,111900.14,1,Basic,1,1,97577.17,Medium Value,Medium,0,Retained
2951,15744919,Genovese,734,Low Risk,Spain,Female,37,Middle Age,0,New,152760.24,1,Basic,1,1,48990.5,Low value,Low,0,Retained
2952,15671655,Thorpe,763,Low Risk,Germany,Male,31,Middle Age,7,Loyal,143966.3,2,Standard,1,1,140262.96,High Value,High,1,Churned
2953,15654901,Horton,733,Low Risk,France,Male,51,Old,10,Very Loyal,141556.96,1,Basic,1,0,130189.53,Medium Value,High,0,Retained
2954,15649136,Williamson,650,Medium Risk,France,Female,43,Middle Age,6,Loyal,0,2,Standard,1,1,16301.91,Low value,Low,0,Retained
2955,15775562,Shoobridge,538,Medium Risk,France,Female,33,Middle Age,5,Established,0,2,Standard,1,0,126962.41,High Value,High,0,Retained
2956,15807481,Peng,577,Medium Risk,France,Female,46,Middle Age,1,New,0,1,Basic,1,1,158750.53,Medium Value,High,0,Retained
2957,15642885,Gray,792,Low Risk,France,Male,30,Middle Age,8,Loyal,0,2,Standard,1,0,199644.2,High Value,High,0,Retained
2958,15789109,Watson,686,Medium Risk,France,Female,41,Middle Age,10,Very Loyal,0,1,Basic,1,1,144272.71,Medium Value,High,1,Churned
2959,15814004,Fyodorova,589,Medium Risk,France,Male,29,Adolescence,2,New,0,2,Standard,0,1,98320.27,Medium Value,Medium,0,Retained
2960,15673619,Bazhenov,530,Medium Risk,France,Male,25,Adolescence,9,Very Loyal,162560.32,1,Basic,1,0,64129.03,Medium Value,Medium,0,Retained
2961,15595135,Solomon,778,Low Risk,Germany,Female,29,Adolescence,7,Loyal,123229.46,1,Basic,1,0,181221.09,Medium Value,High,0,Retained
2962,15583681,Layh,616,Medium Risk,Spain,Male,31,Middle Age,7,Loyal,76665.71,2,Standard,1,1,163809.08,High Value,High,0,Retained
2963,15605000,John,550,Medium Risk,France,Male,38,Middle Age,9,Very Loyal,140278.99,3,Premium,1,1,171457.06,High Value,High,1,Churned
2964,15718071,Tuan,655,Medium Risk,France,Female,51,Old,3,Established,0,2,Standard,0,1,15801.02,Low value,Low,0,Retained
2965,15679760,Slattery,721,Low Risk,France,Male,46,Middle Age,1,New,115764.32,2,Standard,0,0,102950.79,High Value,High,0,Retained
2966,15654574,Onyekachi,499,High Risk,Germany,Male,36,Middle Age,5,Established,131142.53,2,Standard,1,0,174918.46,High Value,High,0,Retained
2967,15577178,Genovese,511,Medium Risk,France,Male,45,Middle Age,5,Established,68375.27,1,Basic,1,0,193160.25,Medium Value,High,1,Churned
2968,15595324,Daniels,579,Medium Risk,Germany,Female,39,Middle Age,5,Established,117833.3,3,Premium,0,0,5831,Low value,Low,1,Churned
2969,15756932,Caldwell,696,Medium Risk,Spain,Female,36,Middle Age,7,Loyal,0,2,Standard,1,1,82298.59,Medium Value,Medium,0,Retained
